SpeciesCode,CommonName,Habitat
ACWO,Acorn Woodpecker,OC
AMGO,American Goldfinch,RGS
AMKE,American Kestrel,G
BEWR,Bewick's Wren,OR
BHGR,Black -headed Grosbeak,OR
BLPH,Black Phoebe,R
BRBL,Brewer's Blackbird,U
BRCR,Brown Creeper,C
BUSH,Bushtit,O
CALT,California towhee,UOS
CAQU,California Quail,OS
CBCH,Chestnut-backed Chickadee,C
DEJU,Dark-eyed Junco,C
DOWO,Downy Woodpecker,UORC
HOFI,House Finch,U
HOSP,House Sparrow,U
KILL,Killdeer,R
LEGO,Lesser Goldfinch,RG
MODO,Mourning Dove,UO
NOFL,Northern Flicker,C
NOMO,Northern Mokingbird,O
NUWO,Nuttal's Woodpecker,O
OATI,Oak Titmouse,O
PISI,Pine Siskin,C
PUFI,Purple Finch,C
RSHA,Red-shoulderd Hawk,G
RWBL,Red-winged Blackbird,R
SAVS,Savannah Sparrow,G
SOSP,Song Sparrow,R
SPTO,Spotted towhee,RCS
STJA,Steller's Jay,C
WBNU,White-breasted Nuthatch,O
WCSP,White-crowned Sparrow,S
WEBL,Western Bluebird,OC
WEME,Western Meadowlark,G
WESJ,Western Scrub-jay,UO
WIWA,Wilson's Warbler,R
WREN,Wrentit,S
YRWA,Yellow-rumped Warbler,C
